    ,       model  ,n_clusters  ,silhouette_score  ,davies_bouldin_score ,          aic ,          bic
0,         GMM  ,2,0.083055,3.700495,-1.51345E+05,-1.506368E+05
1,Bayesian GMM  ,2,0.083035,3.701751,          NaN ,          NaN
2,     K-Means  ,2,0.179152,1.971243,          NaN ,          NaN
3,         GMM  ,3,0.079452,4.629887,-6.021786E+05,-6.01112E+05
4,Bayesian GMM  ,3,0.065799,4.689036,          NaN ,          NaN
5,     K-Means  ,3,0.273331,1.502774,          NaN ,          NaN
6,         GMM  ,4,0.047055,4.694490,-1.090936E+06,-1.089511E+06
7,Bayesian GMM  ,4,0.046911,4.702574,          NaN ,          NaN
8,     K-Means  ,4,0.230145,1.428728,          NaN ,          NaN
9,         GMM  ,5,0.030646,4.189156,-1.158051E+06,-1.156267E+06
10,Bayesian GMM  ,5,0.030706,4.187336,          NaN ,          NaN
11,     K-Means  ,5,0.150768,1.689355,          NaN ,          NaN
12,         GMM  ,6,0.037233,4.022205,-1.256368E+06,-1.254226E+06
13,Bayesian GMM  ,6,0.037381,4.019815,          NaN ,          NaN
14,     K-Means  ,6,0.151487,1.654582,          NaN ,          NaN
15,         GMM  ,7,0.042451,3.736194,-1.35171E+06,-1.34921E+06
16,Bayesian GMM  ,7,0.049042,3.680982,          NaN ,          NaN
17,     K-Means  ,7,0.167310,1.585596,          NaN ,          NaN
